distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
7560539.562745615,1.1867115935874455,2.9000756121142084,0.46156136900823036,110.31316719296707,210.01673586838152,148.5042580951966,373.4684371583258
7648116.436878123,1.2004577675212875,2.807015798201914,0.44675043962087685,106.77335506938958,208.31128033673542,147.29831892375753,370.4356607016625
7736707.750366353,1.2143631691047485,2.718421247026763,0.4326501788703436,103.40339275001215,206.64778900647661,146.12205292368648,367.477508320285
7826325.25388323,1.2284296427379109,2.633921378251115,0.4192016070640827,100.18918408831578,205.02285448611462,144.97305070535444,364.58792072006383
7916980.834214656,1.242659054185317,2.5531945377442566,0.4063535313572252,97.11849399437683,203.43353729111016,143.8492337393104,361.7616706761666
8008686.515836102,1.2570532908234346,2.4759592013553675,0.39406114578956813,94.1806138437068,201.87728018866912,142.7487937889046,358.99421071416884
8101454.462507558,1.2716142618909996,2.401967130696811,0.3822849419946541,91.36610113672235,200.35184172153708,141.67014590451274,356.28155489678664
8195296.978886854,1.2863438987422466,2.330997974464136,0.37098984997316287,88.66657414358593,198.85524390773276,140.61189144166272,353.62018581938906
8290226.512161839,1.3012441551030982,2.2628549574153953,0.3601445519726605,86.07454792146586,197.38573058635507,139.5727886070726,351.00698053720527
8386255.653701316,1.3163170073302959,2.1973613995401613,0.3497209284961419,83.58330191057792,195.94173387380374,138.55172873961646,348.4391509151113
8483397.140725097,1.331564454673536,2.134357877157096,0.3396936064766761,81.1867719479256,194.52184687915906,137.54771701718462,345.91419510795265
8581663.857993562,1.3469885195406626,2.0736998862476503,0.3300395873854146,78.8794613851141,193.12480130716023,136.5598566195976,343.42985773238104
8681068.83951661,1.3625912477659097,2.0152559029775605,0.3207379385539998,76.65636731440595,191.7494489189567,135.5873356193778,340.98409689889087
8781625.270282514,1.378374708881261,1.958905761438277,0.3117695349840949,74.51291886119868,190.39474606788067,134.62941604688916,338.57505671210134
8883346.488006704,1.3943409963909439,1.9045392870469944,0.3031168418462433,72.44492520125216,189.05974070859384,133.68542470441707,336.20104416939
8986245.984900957,1.410492228049122,1.852055137721178,0.29476373004706646,70.44853148124889,187.74356141235373,132.75474539878834,333.86050962696663
9090337.40946296,1.426830546140788,1.801359815225277,0.28669531888020605,68.52018121236925,186.44540802205063,131.83681233348472,331.55203018191844
9195634.568286564,1.4433581177659025,1.7523668168984814,0.2788978410196036,66.65658400368527,185.16454365722166,130.93110445533395,329.2742954548905
9302151.427893197,1.4600771351268556,1.704995903966071,0.27135852606763466,64.8546877301647,183.90028783791416,130.03714059234707,327.0260953623941
9409902.116584297,1.4769898158192274,1.659172467278705,0.26406549960938186,63.11165440664227,182.65201054165243,129.1544752513592,324.8063095484328
9518900.926315306,1.494098403125931,1.6148269749490674,0.2570076953012763,61.42483917700505,181.41912704314774,128.28269496915354,322.61389820806517
9629162.314591276,1.5114051663147505,1.5718944892099727,0.2501747779766771,59.79177193642583,180.20109341422847,127.42141513043146,320.447894085023
9740700.906384613,1.5289124009393522,1.5303142420823395,0.24355707611133168,58.210141190608276,178.9974025835115,126.57027718157943,318.30739546470636
9853531.496074857,1.546622429143754,1.4900292612508914,0.23714552227964447,56.677779824835035,177.80758087293796,125.7289461816299,316.19156001517615
9967669.049410941,1.564537599970325,1.4509860390002363,0.23093160046421723,55.19265251094792,176.6311849424188,124.89710864179953,314.09959935388036
10083128.705496354,1.5826602896713788,1.4131342382416465,0.22490729926855813,53.752844525185395,175.46779908525963,124.07447061306576,312.0307742381637
10199925.778797092,1.6009929020243434,1.3764264306197145,0.2190650702354613,52.356551786275254,174.31703282632446,123.26075598781203,309.9843902941318
10318075.761173008,1.6195378686506054,1.3408178624726994,0.21339779059843922,51.00207195302698,173.17851878248257,122.45570498693532,307.9597942119276
10437594.32393254,1.6382976493380221,1.3062662450665783,0.20789872989643507,49.68779644524799,172.05191075112927,121.65907280822617,305.95637034658756
10558497.319911476,1.657274732367207,1.2727315660569634,0.20256151996705485,48.41220327212611,170.93688199772052,120.87062841547286,303.9735376727994
10680800.785575597,1.6764716348415627,1.240175919577404,0.19738012790428072,47.1738505691231,169.83312371754604,120.09015345077069,302.01074704950514
10804520.943147665,1.695890903021137,1.208563352723237,0.192348831625617,45.97137075852247,168.74034365052907,119.3174412550375,300.06747875662796
10929674.202759268,1.715535112660378,1.1778597265110877,0.18746219774310757,44.803465260602714,167.65826483082665,118.55229598384757,298.1432402715119
11056277.164627345,1.7354068693497637,1.1480325896561416,0.18271506147436445,43.66889969237311,166.58662445552315,117.79453180747718,296.23756425714333
